"tp_licitacao","vl_total_contrato","n_licitacoes_part","n_licitacoes_venceu","montante_lic_venceu","perc_vitoria","media_n_licitacoes_part","media_n_licitacoes_venceu","n_propostas","media_n_propostas","total_ganho","status_tramita","razao_contrato_por_vl_recebido","media_num_contratos","num_contratos"
"7",1500,1,2,0,1,1,1,1,1,3000,"0",0.333333333333333,0,0
"11",34848,3,2,858073.2,0.5,1.5,2,3,1.5,68288,"1",0.337883959044369,1,1
"11",10000,62,21,0,0.318181818181818,7.75,4.8,53,8.83333333333333,488800,"0",0.0200481154771451,4.25,17
"11",40353.2,129,151,0,0.613821138211382,25.8,34.4,117,29.25,74000434.99,"1",0.000545013106781731,22,44
"7",137500.5,750,399,0,0.377126654064272,125,149,507,126.75,324380250.8,"0",0.000423707176107257,50.5,101
"11",6950,178,11,0,0.0597826086956522,29.6666666666667,2.6,83,20.75,5173043,"0",0.00134170065480783,3.5,7
"11",18000.9,9,4,0,0.363636363636364,1.28571428571429,1,6,1.2,68090.9,"0",0.20908959970636,1,3
"11",21000,1,1,42000,1,1,1,1,1,21000,"0",0.5,0,0
"8",78000,241,36,0,0.152542372881356,30.125,15.6,119,19.8333333333333,3635600,"0",0.0210038776389487,10.4,52
"2",23797.8194905445,17.3934584716335,6.28097111475654,0,0.161050541404014,2.48477978166193,1.93260649684817,10.1461841084529,2.02923682169057,295184.086810448,"1",0.28173856577135,1.77155595544415,5.31466786633246
"11",21000,109,55,0,0.555555555555556,12.1111111111111,14.6,99,14.1428571428571,1522050,"0",0.0136094099348693,14,70
"7",32400,12,5,133720,0.384615384615385,3,1.25,12,3,81420,"0",0.284659989457037,1.33333333333333,4
"11",344361.825046688,53.0312751848251,12.6343758394942,4068214.4760667,0.369188272475935,7.83705656962203,6.15101711510215,46.4937718268484,7.99271141147862,3332041.87149683,"1",0.0490950472053004,7.35833557198445,20.9781342344359
"11",247557.5,49,19,0,0.345454545454545,8.16666666666667,5.25,32,6.4,1764071.7,"0",0.123063186794067,4.66666666666667,14
"2",18720,1,1,18720,1,1,1,1,1,18720,"0",0.5,0,0
"11",199206.3,34,36,0,0.782608695652174,8.5,14,34,8.5,9301343.55,"0",0.0209678706122467,13,39
"8",50345.2430387959,63.9232572892215,13,0,0.228325876293394,9.133227266022,6.79128866526298,55.8962936340831,9.31708600267302,1555486.84285611,"1",0.0313563756569644,8.31812306633219,24.9522950716782
"11",29657.5,2,1,139361,1,2,2,2,2,59315,"0",0.333333333333333,0,0
"11",1232,52,125,0,0.886524822695035,17.3333333333333,40.8,50,16.6666666666667,9211573.25,"0",0.000133726912332159,14.6666666666667,44
"11",40574.1772543173,1.41975957574323,0.709879787871614,682975.34391128,0.354939893935807,0.709879787871614,0.709879787871614,1.41975957574323,0.709879787871614,40574.1772543173,"1",0.5,0,0
"10",5570,72,70,0,0.714285714285714,10.2857142857143,20.75,63,10.5,2067149.5,"0",0.00268729077909481,11.5,46
"11",18108,4,3,568357,0.5,1,1,3,1,237816.5,"0",0.070755242268716,0,0
"11",24565,91,22,12861363.62,0.201834862385321,15.1666666666667,12,63,15.75,1089510.27,"0",0.022049677128189,7,14
"11",764200,35,21,0,0.5,17.5,8.66666666666667,35,17.5,6318503.39,"0",0.107896654415737,5,15
"8",15406.1937603168,9.44609941774979,19.7691098172218,1329.3613974005,0.918395174707731,3.18972947867587,5.45766358159017,7.56918843602762,2.56409248476848,258607.882057014,"1",0.0794555787705934,3.44100346649066,10.323010399472
"12",53664,5,10,0,0.833333333333333,1.66666666666667,2.5,4,2,5443821.44,"0",0.00976155382050452,2.5,5
"8",289492.976261645,12.6883361777291,8.33530328888446,2466242.32658008,0.693795875782827,4.81135305396414,3.56581028029323,12.1518509155139,4.82412651258831,2570521.64942314,"1",0.0990863059195286,3.35765684147676,7.27415249776095
"11",320950,747,399,0,0.377126654064272,124.5,149,504,126,324380250.8,"0",0.00098844722227464,49.5,99
"11",41040,2,2,161022,0.666666666666667,2,1,2,2,66450,"0",0.381802958414736,0,0
"11",12000,0,0,0,0,0,0,0,0,12000,"1",0.5,0,0
"8",2000,0,0,0,0,0,0,0,0,15210,"0",0.116211504938989,0,0
"11",39112.92,7,3,0,0.375,1.16666666666667,1,5,1.25,96487.32,"0",0.288442852313536,1,1
"3",12600,7,1,12600,0.125,2.33333333333333,1,1,1,12600,"0",0.5,0,0
"2",17693.4669409064,1.6133318899665,2.90399740193971,0,0.263999763812701,0.806665944983251,0.580799480387941,1.6133318899665,0.806665944983251,50767.7386843537,"1",0.378940170627851,0.967999133979902,0.967999133979902
"11",220500,5,8,1376800,1,2.5,4,5,2.5,1373800,"0",0.138305212318886,1.5,3
"11",432122,1,5,1228454.02,1,1,1.66666666666667,1,1,1161480.4,"0",0.271160485200073,1,1
"3",19790.761967632,7.82991552259773,3.91495776129887,770418.012916401,0.326246480108239,2.60997184086591,1.95747888064943,7.82991552259773,2.60997184086591,133200.563382858,"1",0.232788743661406,1.63123240054119,3.26246480108239
"8",233154.72754638,1,1.62970301415771,453633.632527152,1,1,1.62970301415771,1,1,444071.23962348,"1",0.449667444049184,0.314851507078856,0.314851507078856
"11",46806,16,29,0,0.828571428571429,5.33333333333333,6,16,5.33333333333333,3909019.68,"0",0.0118321695105635,3.5,7
"11",27000,546,122,0,0.221818181818182,68.25,36.6,309,51.5,5100926,"0",0.00526528658954907,24.6,123
"11",37794.48,835,270,0,0.277207392197125,139.166666666667,127,450,112.5,39000952.41,"0",0.00096812738652944,70,140
"1",900436.874176451,17.5191915202886,6.37834142521024,7882.65926837921,0.731082928739488,3.99650450833142,2.05645992280915,14.8300208076835,4.16937976842746,5975161.11814382,"1",0.357901575525734,3.45750520192087,3.45750520192087
"11",594176.5,5,3,2258263.4,1,2.5,2.5,5,2.5,2258263.4,"0",0.208304651747439,3,3
"7",4500,2,2,104140,1,2,2,2,2,17980,"0",0.20017793594306,1,1
"8",38326.6417555138,53.4741212558001,32.4844727534801,2466.63458347321,0.512426291454104,9.07294173166156,9.23440056629479,40.5574144851416,10.2838829914108,6470940.25966753,"1",0.100803726747917,4.03647086583078,4.03647086583078
"12",32586,100,96,0,0.727272727272727,20,23.2,98,19.6,4886522,"0",0.00662437173568867,18,72
"11",34209.97,149,118,0,0.448669201520913,29.8,31.8,86,28.6666666666667,40714953.59,"0",0.000839525698475466,4,4
"7",27000,8,5,192600,0.555555555555556,1.6,2.5,6,1.5,96300,"0",0.218978102189781,3,3
"8",103867.855420237,67.0517456540838,15.2888092405628,0,0.23667472145575,13.2602917555099,7.0415965309483,61.0862427568063,13.4023275387784,2692725.13995538,"1",0.0339493825908627,7.23131406935863,21.6939422080759
"11",62400,4,5,315250,0.833333333333333,1,1,4,1,262600,"0",0.192,1,3
"2",1263977.69365066,0.753357333363965,0.753357333363965,1091488.21201238,0.753357333363965,0.753357333363965,0.753357333363965,0.753357333363965,0.753357333363965,2523515.81930188,"1",0.374440444439339,0,0
"7",73260,0,0,0,0,0,0,0,0,73260,"0",0.5,0,0
"3",30961.1385076456,11.5989684015512,53.1619385071099,0,0.399713823361728,3.86632280051708,14.4020524319261,11.1156780514866,5.55783902574331,3298068.60302374,"1",0.261300934557705,0,0
"11",5500,1,1,127300,1,1,1,1,1,5500,"0",0.5,0,0
"13",8227.8,2,2,594247,0.666666666666667,1,2,2,1,28227.8,"0",0.225693720580652,1,1
"8",40000,20,17,0,0.944444444444444,6.66666666666667,5.5,20,6.66666666666667,587000,"0",0.0637958532695375,5.25,21
"8",32839.9735711981,15.9725772887468,3.2444297617767,0,0.0569198203820474,2.28179675553526,1.69708633692935,13.9760051276535,2.32933418794225,408345.282768831,"1",0.383049299489961,2.07976266780558,6.23928800341673
"11",439820.12,99,232,0,0.946938775510204,33,114.75,99,33,160689949.25,"0",0.0027296018713342,67.5,135
"2",40059.6086882986,0,0,0,0,0,0,0,0,40059.6086882986,"1",0.5,0,0
"8",160568.394764466,10.444271532353,2.84843769064173,227875.964730569,0.203459835045838,5.22213576617651,0.94947923021391,9.4947923021391,9.4947923021391,228931.848819098,"1",0.416221462625543,0,0
"11",47124,1,5,1150639.38,1,1,1,1,1,215080.2,"0",0.179722521607205,0,0
"11",120852.15,63,16,0,0.207792207792208,12.6,3.4,12,4,3773608.33,"0",0.0310318080310832,2,2
"11",55283.2072949968,6.97428139857948,13.948562797159,0,0.498162957041391,3.48714069928974,3.06868381537497,6.97428139857948,3.48714069928974,1507248.80870004,"1",0.173317056681408,0.697428139857948,0.697428139857948
"7",519265,12,8,1478199,0.615384615384615,2,2,8,1.6,1458620,"0",0.262535486137971,1.5,6
"11",35630,167,148,0,0.663677130044843,20.875,49.2,150,25,22059868.3,"0",0.00161254566501449,26,104
"11",21327.7981311083,1.17193141393363,1.34386282786727,10599.2779016495,1,1,1,1.17193141393363,1,37283.0333441496,"1",0.463338154381798,0.171931413933635,0.34386282786727
"2",280000,69,23,9189283.8,0.267441860465116,11.5,7.25,54,13.5,9267037.44,"0",0.029328469879762,3.5,7
"11",67516,2,2,359392,1,1,1,2,1,359392,"0",0.158151170744048,1.5,3
"7",40000,6,7,294200,0.875,3,3.5,6,3,205100,"0",0.163198694410445,2.5,5
"8",52118.2230731472,65.431852560956,11.568147439044,0,0.193791541395241,9.347407508708,6.03634530082345,45.0224636993371,8.02875655557339,1333301.49514531,"1",0.0389294701393176,6.74238604338219,22.6135790650733
"8",39133.8865673169,42.8548255392816,22.89504378126,0,0.336691820312647,6.12211793418308,7.98391270320862,39.3325111113954,6.55541851856591,1883535.13148944,"1",0.216228499458102,6.34016597019508,31.7008298509754
"2",12834.1188245424,1,3.90048391977325,716.515777632594,1,1,1.96682797325775,1,1,237073.779204203,"1",0.0637362051022315,0,0
"11",286183.81049484,4.45093097444624,2.67883128486574,19585.4024581611,0.943650338818164,1.49743149181207,1.27980521414429,3.14517330843955,1.46634202357382,966291.165082498,"1",0.473859593690092,0.373073618859053,0.746147237718105
"11",99732,101,45,0,0.394736842105263,12.625,10.6,55,9.16666666666667,5880302.29,"0",0.0166774963425837,9.75,39
"11",200289,15,29,12038651.36,0.935483870967742,7.5,12.3333333333333,15,7.5,3869731.95,"0",0.0492108032023766,6,12
"7",11067.21,0,0,0,0,0,0,0,0,11067.21,"0",0.5,0,0
"2",7700,67,55,0,0.561224489795918,9.57142857142857,14.6,57,11.4,1522050,"0",0.00503350220624285,9.66666666666667,29
"11",39668.5,5,7,3144899.3,1,2.5,5,5,2.5,671877.35,"0",0.0557497454310218,3,6
"7",28000,1,3,230200,0.75,1,1.5,0,0,70000,"0",0.285714285714286,0,0
"11",14000,1,2,1140600,1,1,1,1,1,32000,"0",0.304347826086957,0,0
"8",343286.8859543,22.2626716010273,8.08755720034242,5239.93898630142,0.592184208710456,3.53127042869372,1.94500762671232,12.812595333904,2.89001525342464,4835631.77530812,"1",0.243315851733418,2.0672041834332,4.13440836686641
"11",11335.0646346807,1.91558460332453,1.91558460332453,156223.276925097,0.961850641528144,1.15259743388742,1.3433442262467,1.91558460332453,1.15259743388742,154273.843944198,"1",0.387850691771527,0.686688452493399,0.686688452493399
"11",425,390,30,0,0.076530612244898,65,11.6666666666667,180,45,2031758.33,"0",0.000209134674872075,10.3333333333333,31
"11",26400,2,2,790306.44,0.5,1,1,1,1,61600,"0",0.3,0,0
"8",22276.3896490447,21.9460032135248,4.45778190274723,0,0.078206700048197,3.13514331621783,2.33176284143701,19.2027528118342,3.20045880197237,568176.681657368,"1",0.0929019283267367,2.85755250176104,8.57265750528313
"2",63820.4032698717,5.06143405335024,4.98356583714485,0,0.0600429618933115,1.68714468445008,1.29261238900945,5.06143405335024,1.68714468445008,438983.255842461,"1",0.468896047747892,1.07068797282409,4.28275189129636
"8",36469.9400246143,30.1422153376043,5.26107779145241,150908.983066678,0.168670553223867,7.31177287029901,2.64032931290567,13.4359278529882,4.17405186096827,201655.97878024,"1",0.182405525257695,2.20668658489982,4.68532920256257
"3",2533349.90207653,45.4443068448454,11.6028017476201,7445988.64579073,0.246868122289789,15.1481022816151,4.83450072817504,39.6429059710354,13.2143019903451,7449581.13318386,"1",0.261885383416734,5.31795080099255,10.6359016019851
"8",25000,4,12,663000,1,4,8.5,4,4,379000,"0",0.0618811881188119,3,3
"11",37276.7427881737,4.42361993715167,1,558060.090394511,0.315276012569666,1,1,2.71180996857584,1,72709.0693752328,"1",0.357349169285347,0,0
"8",12000,9,9,0,0.642857142857143,2.25,2,5,1.66666666666667,127920,"0",0.0857632933104631,2,4
"8",70000,3,28,0,1,3,7,3,3,946920.2,"0",0.0688352930741272,3,3
"11",12000,1,1,48000,1,1,1,1,1,12000,"1",0.5,0,0
"11",92573,154,192,0,0.834782608695652,38.5,56.2,153,38.25,20611033.5,"0",0.00447134657432752,44.3333333333333,133
"8",13000,17,16,0,0.761904761904762,5.66666666666667,4.5,17,5.66666666666667,378000,"0",0.0332480818414322,6.5,13
"13",19420,0,0,0,0,0,0,0,0,59140,"0",0.247199592668024,0,0
"8",25139977.3124527,5.51659734128043,4.7285120068118,0,0.23642560034059,1.37914933532011,1.26093653514981,5.51659734128043,1.37914933532011,25516051.6340611,"1",0.498536566460964,0.788085334468633,2.3642560034059
"11",24700,170,72,0,0.369230769230769,24.2857142857143,15.8,123,24.6,1706142,"0",0.0142705111153993,17.6666666666667,53
"11",57255,20,27,16275690.91,0.931034482758621,10,9.66666666666667,20,10,13165208.6,"0",0.00433013103549024,8.5,17
"2",41572.2826687619,1.81853617494926,2.63707234989852,793234.052124666,0.795365956262685,1,1.40926808747463,1.81853617494926,1,80043.4828913771,"1",0.361614387688435,0,0
"13",17250,1,1,170755,1,1,1,1,1,17250,"0",0.5,0,0
"10",21899.88,1,1,66279.44,1,1,1,1,1,66399.58,"0",0.248018277801472,1,1
"4",5000,106,20,0,0.185185185185185,35.3333333333333,7,106,35.3333333333333,316700,"0",0.0155424308361828,18,36
"13",2423.8,8,6,658077,1,2.66666666666667,2.5,7,2.33333333333333,16118.7,"0",0.130715922879871,3,6
"11",27869,152,88,0,0.560509554140127,19,20.6,138,19.7142857142857,8535336.32,"0",0.0032545056387834,20.4,102
"8",19190.634269839,17.5545952175744,7.83939946861938,0,0.797158955841472,3.13970958594499,2.96641103383154,15.4524243962951,3.18976127216592,966898.907096533,"1",0.0160197232308448,2.18976127216592,6.56928381649777
"11",45496.53,1,2,0,1,1,1,1,1,92485.89,"0",0.329727004353163,1,1
"11",18490.2,181,151,0,0.580769230769231,30.1666666666667,34.4,164,32.8,74000434.99,"0",0.000249803681322544,39.3333333333333,118
"7",36942.7495643962,0,0,0,0,0,0,0,0,36942.7495643962,"1",0.5,0,0
"2",122059,26,40,0,0.975609756097561,13,14.25,25,12.5,7481254.75,"0",0.0160533951397179,15,30
"2",36920.7612769011,0.344420100562274,0.516630150843412,0,0.172210050281137,0.344420100562274,0.258315075421706,0.344420100562274,0.344420100562274,72435.5280098474,"1",0.461561596787165,0.344420100562274,0.344420100562274
"11",45200,107,71,0,0.50354609929078,17.8333333333333,22.4,71,14.2,3773955,"0",0.0118350787019642,19.5,39
"11",11880,3,3,0,0.75,1,1,3,1,35522,"0",0.25062233661027,1,1
"8",33600,7,13,0,1,3.5,4.5,7,3.5,533250,"1",0.0592749404604393,3.5,7
"10",58738.8,5,6,0,0.857142857142857,1.66666666666667,2,5,1.66666666666667,2020910.9,"0",0.0282445644571776,2.66666666666667,8
"2",118687.31,4,10,0,1,4,3.33333333333333,4,4,1011334.43,"0",0.10503099701427,4,4
"10",177320,34,28,0,0.8,5.66666666666667,6,34,5.66666666666667,5366309.7,"0",0.0319862634403593,6.6,33
"3",38408.8416319399,178.59081570874,39.1259030881338,0,0.14331832633016,29.7651359514566,19.5629515440669,125.581527653849,31.3953819134622,34941221.0287818,"1",0.18502258741459,11.5168988928781,46.0675955715124
"7",13200,1,2,19200,1,1,1,1,1,19200,"0",0.407407407407407,1,1
"11",18000,11,10,0,0.666666666666667,1.83333333333333,2.2,10,2,337040,"0",0.0506985128436233,2.5,10
"8",598584.194345817,31.1933415893,21.9030826387461,2890.39045274258,0.581176850589786,7.96769421291538,5.02577887857333,24.2256473763846,8.22575696154187,4853879.53190129,"1",0.197577436933535,4.64512947527692,4.64512947527692
"11",20500,5,5,901555.77,1,2.5,2.5,5,2.5,786644.08,"0",0.0253981916091115,2,4
"3",312114.835831867,16.9945631434675,8.94450691761449,4547955.77610785,0.372687788233937,5.66485438115584,2.9815023058715,16.9945631434675,5.66485438115584,3995376.6578484,"1",0.117193214802868,2.23612672940362,4.47225345880724
"11",264370,306,59,0,0.173020527859238,38.25,15,107,17.8333333333333,15751883.99,"0",0.0165063566152899,4.8,24
"11",24500,2,1,49000,0.333333333333333,1,2,1,1,49000,"0",0.333333333333333,0,0
"11",67695.64,1254,276,0,0.22716049382716,156.75,103.4,702,117,42049428.63,"0",0.00160731866606143,101,404
"8",9000,90,57,0,0.838235294117647,18,17.6,90,18,2158180,"0",0.00415286224494504,16,80
"11",6200,1,4,433060,1,1,1.33333333333333,1,1,35920,"0",0.147198480531814,0,0
"11",34491.3550369442,22.2398069719784,6.37139793206006,228023.911137134,0.73975173857782,3.74528117324891,3.28684090399183,19.5426886263303,3.80949827671672,557395.388775039,"1",0.239635352806221,3.47235848351071,9.09135503694415
"11",27108.5081863523,1.39479632582515,4.53308805893175,0,0.323792004209411,0.697398162912577,1.51102935297725,1.39479632582515,0.697398162912577,260920.597899149,"1",0.345926826490936,1.39479632582515,1.39479632582515
"7",10200,11,12,255900,0.857142857142857,2.2,2.4,11,2.2,255900,"0",0.0383314543404735,2,10
"2",107228,707,95,0,0.12751677852349,101,25.4,194,38.8,27486807.93,"0",0.0038859121685575,21.6666666666667,65
"11",348000,34,31,0,0.673913043478261,5.66666666666667,6.2,22,4.4,8243764.75,"0",0.040503902297837,5,20
"11",66716.5256688148,10.6123610257637,7.71808074600995,562821.453772882,0.406214776105787,3.53745367525456,2.1707102098153,5.78856055950746,2.89428027975373,440213.84464611,"1",0.143699251603464,0,0
"12",193800,23,28,0,0.823529411764706,4.6,6,23,4.6,5366309.7,"0",0.0348554274028083,4.5,18
"8",132480,1,3,539520,1,1,1,1,1,567738,"0",0.189198221125421,0,0
"8",3000,50,18,119000,0.346153846153846,12.5,6,50,12.5,134000,"0",0.0218978102189781,5,15
"8",63904.4831066858,36.1939051523805,11.2648890027776,3414.95862603188,0.50079567159744,6.25464556094569,6.42572704432532,25.9290161496028,6.68234926939476,2105546.91337772,"1",0.153904942758696,5.86565085873008,11.7313017174602
"5",5805000,2,1,1498306.11,1,1,1,2,1,17415000,"0",0.25,0,0
"11",93002.1,0,0,0,0,0,0,0,0,460213.45,"0",0.168111868872811,0,0
"7",14400,0,0,0,0,0,0,0,0,14400,"0",0.5,0,0
"8",36000,6,8,213400,0.8,1.5,2,6,1.5,213400,"0",0.144346431435445,1.33333333333333,4
"11",13653.4255255945,1,1,303476.734017488,1,1,1,1,1,13653.4255255945,"1",0.5,0,0
"11",47902.3493032972,5.67830954678357,3.40698572807014,1766450.09903931,0.121678061716791,2.83915477339178,1.64040053573747,5.67830954678357,2.83915477339178,1855578.70753667,"1",0.408495709766819,1.2618465659519,3.78553969785571
"13",1973.21,6,5,593109,1,3,2.66666666666667,5,2.5,11225.72,"0",0.149497724436754,4,4
"2",18000,0,0,0,0,0,0,0,0,18000,"1",0.5,0,0
"11",21120,3,5,0,0.833333333333333,1,1,3,1,87200,"0",0.194977843426883,1,2
"8",2000,141,72,0,0.45859872611465,20.1428571428571,21.2,126,25.2,6649631,"0",0.000300678134430488,20,60
"2",209603.402979393,10.8043730244972,7.78764286311343,16169.8857095093,0.863999869773683,3.26254762103781,2.30724973659962,8.54182540345937,3.34634568107625,1591381.65681741,"1",0.401797434028338,1.50836508069187,1.50836508069187
"12",106333.2,29,28,0,0.823529411764706,5.8,6,29,5.8,5366309.7,"0",0.0194299540355538,6,24
"8",22000,65,15,0,0.234375,10.8333333333333,6.33333333333333,31,7.75,330500,"0",0.0624113475177305,5.33333333333333,16
"11",14330.56,43,24,0,0.436363636363636,8.6,7.5,38,9.5,1686300.61,"0",0.00842661257349529,7,14
"11",18000,10,3,0,0.25,2,1,3,1,55100,"0",0.246238030095759,1,1
"3",2533855.28055519,16.9071729003917,4.41056684358045,0,0.169637186291556,3.38143458007835,1.47018894786015,3.67547236965038,1.22515745655013,3529114.05255514,"1",0.439555373281179,2.9403778957203,2.9403778957203
"11",1842,430,57,0,0.13768115942029,71.6666666666667,23,206,51.5,23590465.01,"0",0.0000780762983128033,29.3333333333333,88
"11",19363,76,173,0,0.797235023041475,15.2,53.8,61,15.25,14095937.5,"0",0.00137177384215093,17,34
"8",20909.7136127297,0.00685666780918837,0.00685666780918837,167.462683459744,0.000979523972741148,0.00342833390459418,0.00342833390459418,0.00685666780918837,0.00342833390459418,21076.9020294771,"1",0.49959242219223,0.00342833390459418,0.00342833390459418
"11",2900,876,223,0,0.222554890219561,146,95.2,412,103,45965184.16,"0",0.000063087249620977,19.2,96
"2",355682.325106496,1,1.96685700211674,694209.485223124,1,1,1.96685700211674,1,1,679527.22020606,"1",0.422718514821512,0.48342850105837,0.48342850105837
"11",6846,173,74,0,0.437869822485207,19.2222222222222,23.6,123,17.5714285714286,10101400.62,"0",0.000677268794219427,15.6,78
"11",100230,5,3,0,0.428571428571429,1,1,3,1,354690,"0",0.220324452651016,1,1
"11",26000,147,135,0,0.513307984790874,29.4,35.8,119,39.6666666666667,6950222,"0",0.00372694561612288,18,18
"3",482466.51213874,6.73926499881782,5.77651285612956,2790068.4370939,0.962752142688259,3.36963249940891,3.36963249940891,6.73926499881782,3.36963249940891,2777281.32563782,"1",0.160956346337192,5.77651285612956,5.77651285612956
"7",15500,6,6,383280,0.666666666666667,2,1.5,6,2,66360,"0",0.189347666748107,1,2
"3",60858.9101617852,13.9532246473245,6.75698873214424,3588.81802856922,0.529476882468981,3.01494605625048,1.57569887321442,6.75698873214424,1.89952948939754,9434608.52846983,"1",0.144531759322565,0.71962359151803,0.71962359151803
"11",119856.17,318,59,0,0.172514619883041,39.75,15,119,19.8333333333333,15751883.99,"0",0.00755154562711793,7.4,37
"11",17774,131,192,0,0.849557522123894,32.75,56.2,130,32.5,20611033.5,"0",0.000861610638423961,38.3333333333333,115
"11",25200,1,3,0,1,1,1,1,1,101700,"0",0.198581560283688,1,1
"8",3500,38,38,0,1,7.6,7.8,38,7.6,240046,"0",0.0143710017820042,6.4,32
"8",88620.5876218155,6.090018754825,15.8954990622588,0,0.973110869820965,1.60536752046929,4.0975342085585,5.811349587515,1.61200250064333,879094.002233399,"1",0.093043364613098,2.54233520881583,7.6270056264475
"11",268094,1,1,310094,1,1,1,1,1,268094,"1",0.5,0,0
"11",45919.8,23,12,2612767.32,0.48,3.28571428571429,3,15,3,2118810.32,"0",0.0212127135737364,2.33333333333333,7
"8",2000,6,8,98000,0.888888888888889,3,3,6,3,67500,"0",0.0287769784172662,2,4
"11",64953.619861044,2.65830269828439,1,64953.619861044,0.447232433905204,1.4145756745711,1,1,1,64953.619861044,"1",0.5,0,0
