"tp_licitacao","vl_total_contrato","n_licitacoes_part","n_licitacoes_venceu","montante_lic_venceu","perc_vitoria","media_n_licitacoes_part","media_n_licitacoes_venceu","n_propostas","media_n_propostas","total_ganho","status_tramita","razao_contrato_por_vl_recebido","media_num_contratos","num_contratos"
"3",38400,8,3,160800,0.5,1.6,2.5,7,1.75,160800,"0",0.192771084337349,2,4
"11",47972,42,43,11539393.44,0.877551020408163,14,17.3333333333333,42,14,4816613.2,"0",0.00986147801461058,12,36
"12",7776.54,34,23,35200861.5,0.5,11.3333333333333,12,34,11.3333333333333,35200761.49,"0",0.000220870857897419,4,8
"2",399888.86,169,17,0,0.0939226519337017,33.8,4.5,40,13.3333333333333,9031648.68,"0",0.0423991166131752,5,5
"10",47290.05,400,67,0,0.162227602905569,50,14.4,241,40.1666666666667,7498156.28,"0",0.00626736284797085,22.75,91
"3",145223.79,2,23,0,0.958333333333333,2,5.6,2,2,4723917.7,"0",0.029825337854374,0,0
"11",351437,15,5,0,0.294117647058824,2.5,1.75,7,1.75,832648.6,"0",0.296800332678651,1,3
"11",83832.5,695,185,0,0.261669024045262,77.2222222222222,47.2,459,65.5714285714286,8149651.08,"0",0.01018189921501,38.8,194
"8",39832.9323888291,40.0180025845766,8.12865677499212,0,0.142608013596353,5.71685751208237,4.25191277461126,35.0157522615045,5.83595871025076,980631.16190061,"1",0.206989463837118,5.21067741986675,15.6320322596002
"12",17820,264,65,0,0.239852398523985,29.3333333333333,15.4,149,21.2857142857143,1988138.98,"0",0.00888353160641401,15.75,63
"11",6152,47,42,0,0.777777777777778,9.4,8.8,45,9,2799707.73,"0",0.0021925543655028,7.2,36
"8",6872.28762821251,0.901139383437112,1.80227876687422,0,0.901139383437112,0.901139383437112,1.80227876687422,0.901139383437112,0.901139383437112,43218.2667905596,"1",0.143667429910433,0,0
"2",517892,108,77,0,0.447674418604651,21.6,19,46,15.3333333333333,25489448.88,"0",0.0199133007249605,12,12
"11",22425,14,12,2251173.66,0.923076923076923,14,13,6,6,666964,"0",0.0325288044920937,12,12
"2",11200,78,18,0,0.197802197802198,15.6,3.6,46,15.3333333333333,381690,"0",0.0285067067118023,5,5
"11",17044.9,232,96,0,0.40506329113924,29,24.8,197,28.1428571428571,8616612.04,"0",0.00197423874013692,20.6,103
"8",48000,3,3,143280,1,1,1,3,1,110880,"0",0.302114803625378,1,2
"2",293542.968724945,9.27939574560151,11.0535519768018,2692778.42742397,0.892475379927253,2.6263098786003,3.36554164160043,9.27939574560151,2.6263098786003,2619003.09747655,"1",0.262470882776946,1.6263098786003,6.50523951440118
"11",148200,59,173,0,0.819905213270142,11.8,53.8,44,11,14095937.5,"0",0.0104042803574453,11.5,23
"11",10400,75,70,0,0.74468085106383,15,17,73,14.6,1542299.8,"0",0.00669801078096358,13.75,55
"11",48305.5,0,0,0,0,0,0,0,0,1258753.61,"0",0.0369573951403009,0,0
"8",14366.4959019274,1.64838406536728,5.53868845757097,4500.6839632988,1,1.64838406536728,1.77806087844074,1.64838406536728,1.64838406536728,647481.946461413,"1",0.185606334351145,0,0
"1",1798155.63,0,0,0,0,0,0,0,0,2364550.48,"0",0.431967951251788,0,0
"10",6960,25,26,19723921.88,0.866666666666667,12.5,14.5,25,12.5,3640237.14,"0",0.00190831472301495,10.5,21
"8",42000,3,1,42000,0.25,3,1,3,3,42000,"0",0.5,0,0
"2",123503.655339872,10.5886357855052,4.71202969085425,747479.002441902,0.544263974478688,3.48598851915449,1.76582544185221,9.95572050474584,3.50105793060114,870501.910139498,"1",0.129428849482953,1.58017234069606,3.81963143218309
"13",15947,6,7,0,1,1.5,1.4,6,1.5,75038.5,"0",0.175269685829061,1.5,6
"8",56135.0372004556,26.1865679090843,5.43731358181685,508641.079532271,0.241890874302235,4.22110883896017,3.14470156454481,21.9679111181758,4.08146776515059,612500.205133925,"1",0.326720702649349,3.08146776515059,9.24440329545178
"11",14355,587,122,0,0.221014492753623,65.2222222222222,36.6,350,50,5100926,"0",0.002806297444852,32.8,164
"11",43179.8838195929,46.742702588439,9.49461146327667,0,0.166572130934678,6.67752894120557,4.96641215002164,40.8998647648841,6.81664412748069,1160438.17161642,"1",0.078146757292066,6.08628939953633,18.258868198609
"8",30000,65,29,0,0.46031746031746,7.22222222222222,7.4,60,8.57142857142857,1053800,"0",0.0276803838346558,6.2,31
"11",19116.9164180449,2.98564083897509,5.76553801354021,18740.6771918759,0.974100336882934,2.98564083897509,2.11195886982605,2.98564083897509,2.98564083897509,1822178.01670887,"1",0.433839583016493,0.397128167795017,0.794256335590035
"11",30660,7,19,0,0.904761904761905,7,4.75,7,7,1200202,"0",0.0249093724560511,5,5
