id_experimento,nome_metrica,valor_metrica,modelo,tipo_metrica,balanceamento
e57a40a58879a254da4d44748c52e20a,.metric,accuracy,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,.metric,roc_auc,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,.estimator,binary,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,.estimator,binary,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,mean,0.995632292408721,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,mean,0.689169162754251,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,n,5,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,n,5,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,std_err,0.000105121040614004,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,std_err,0.019336296944256,Regressão Logistica,cv,-
e57a40a58879a254da4d44748c52e20a,.metric,accuracy,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,.metric,roc_auc,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,.estimator,binary,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,.estimator,binary,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,mean,0.995513665539159,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,mean,0.638200308526544,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,n,5,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,n,5,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,std_err,0.000119833872421451,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,std_err,0.0106035940148548,Floresta Aleatoria,cv,-
e57a40a58879a254da4d44748c52e20a,F1,0,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,AUC,0.5,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,precision,0,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,recall,0,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,mcc,0,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,TP,0,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,TN,23079,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,FP,1,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,FN,101,Regressão Logístia,oob,-
e57a40a58879a254da4d44748c52e20a,F1,0.055,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,AUC,0.515,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,precision,0.375,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,recall,0.03,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,mcc,0.105,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,TP,3,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,TN,23075,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,FP,5,Floresta Aleatória,oob,-
e57a40a58879a254da4d44748c52e20a,FN,98,Floresta Aleatória,oob,-
