"id_contrato","cd_u_gestora","nu_licitacao","nu_contrato","dt_ano","data_inicio","nu_cpfcnpj","tp_licitacao","vl_total_contrato","n_licitacoes_part","n_licitacoes_venceu","montante_lic_venceu","perc_vitoria","media_n_licitacoes_part","media_n_licitacoes_venceu","n_propostas","media_n_propostas","total_ganho","status_tramita","razao_contrato_por_vl_recebido","media_num_contratos","num_contratos","vig_pred","vig_prob_0","vig_prob_1"
"40752ee4e4b3f4a04c6396cd822e1d90","101095","000072017","000182017",2017,2017-06-16,"34028316001932","7",57722,22,1,0,0.0434782608695652,3.66666666666667,1,14,2.8,57722,0,0.5,0,0,"0",0.852,0.148
"ab5d145b3ad2f6805d0ddd79b9a609b1","201003","000042017","000052017",2017,2017-02-06,"08983619000175","8",5291706.65,15,13,0,0.764705882352941,7.5,6.33333333333333,15,7.5,6389833.61,0,0.452997338725946,6,12,"1",0.19,0.81
"bc5809c98e803b1b389d0e81e32f0b3a","201003","000042017","000922017",2017,2017-07-03,"00000000275379","7",199000,0,0,0,0,0,0,0,0,199000,0,0.5,0,0,"0",0.964,0.036
"29a95d0413bd9cc9a28173b5e8137867","201003","000202017","000932017",2017,2017-10-10,"60746948000112","11",980005,14,8,19288620,0.444444444444444,2,2.66666666666667,9,1.8,20633655,0,0.0453419272811731,3,3,"0",0.882,0.118
"37b3ddee8d2b82ffa02cb824bedf346d","201005","000252018","001652018",2018,2018-05-30,"60746948000112","11",225505,19,8,19288620,0.380952380952381,2.375,2.66666666666667,14,2.33333333333333,20633655,0,0.010810838020323,2,6,"0",0.908,0.092
"fe6ee7ded64eb77c191068047cae69fa","201010","000102016","002012016",2017,2016-11-21,"08983619000175","8",0.01,1,13,0,0.928571428571429,1,6.33333333333333,1,1,6389833.61,0,0.00000000156498597533123,0,0,"0",0.59,0.41
"982fad830504666f458099b0b10ab3ad","201008","000112017","000112017",2017,2017-01-20,"01985110000112","8",146958.47,2,1,80000,0.333333333333333,1,1,1,1,146958.47,0,0.5,0,0,"0",0.808,0.192
"46036266a287757f694a79e09e954f6d","201022","000012018","100562018",2018,2018-04-12,"13743909000181","13",39600,11,1,257897.6,0.0909090909090909,2.2,1,11,2.2,39600,0,0.5,0,0,"0",0.882,0.118
"16d02c07068a0faadcb9da02c04eaa3b","201016","000032015","000662015",2015,2015-10-30,"00360305000104","7",120000,12,6,4790000,0.375,2.4,3,8,2,4690000,0,0.0249480249480249,1,1,"0",0.93,0.07
"f2d262fd24eced3d57097bec509ea615","201033","000062017","001102017",2017,2017-10-25,"08596806000104","8",1,2,1,0,0.333333333333333,1,1,2,1,1,0,0.5,0,0,"0",0.982,0.018
"3e95a2dbb5819ca7dae2e9e4e1f4c48c","201025","000032018","000812018",2018,2018-06-20,"08983619000175","8",480000,20,13,0,0.65,6.66666666666667,6.33333333333333,20,6.66666666666667,6389833.61,0,0.0698706878870098,7,14,"1",0.44,0.56
"3306fde6f6df1a4d8041dd4bfe643d1c","201032","000052018","000452018",2018,2018-09-25,"08983619000175","8",1500,28,13,0,0.5,9.33333333333333,6.33333333333333,25,8.33333333333333,6389833.61,0,0.000234692803025189,5.33333333333333,16,"0",0.796,0.204
"6121bdec47ac805e8e40ea5a6fb587b0","201033","000012016","000022016",2016,2016-01-13,"14844006000150","7",384000,4,1,0,0.2,1,1,3,1,384000,0,0.5,0,0,"0",0.884,0.116
"d1885a2debf38bf93b831adf051160b0","201043","000022014","000112014",2014,2014-03-17,"15361238000110","2",215519.85,25,1,216854.13,0.0384615384615385,12.5,1,25,12.5,215519.85,0,0.5,0,0,"0",0.818,0.182
"113edee5e377309167407a92c5f9e496","201040","000012016","001132016",2016,2016-05-30,"00360305000104","7",3345000,16,6,4790000,0.352941176470588,2.66666666666667,3,12,2.4,4690000,0,0.416303671437461,2,4,"1",0.482,0.518
